Video ID,Comment
xlnPHQ3TLX8,"GUYS!! Listen, there are more Christmas themed movies on Earth than any other genre of film, right? What differentiates them is their plot. The same thing goes for Coco and The Book of Life! They encompass the same Holiday, but not the same story or content by a mile."
xlnPHQ3TLX8,THE CRINGE IS REAL
xlnPHQ3TLX8,"This movie was waaay better in 2001, when it was called ""Spirited Away""."
xlnPHQ3TLX8,¿Quien es Sombra?
xlnPHQ3TLX8,"I'm not sure how to feel about this. The animation looks gorgeous and Miguel is adorable, but the acting isn't that great and the jokes and dialogue seem very juvenile."
xlnPHQ3TLX8,"It does have a big BOOK OF LIFE feeling going, but I will give it a try !"
xlnPHQ3TLX8,I'm in love with CoCo....
xlnPHQ3TLX8,BUILD THE WALL!
xlnPHQ3TLX8,This looks amazing. I hope it will be among Pixar's best.
xlnPHQ3TLX8,Is it just me or the background score is awfully similar to Dunkirk's ?
xlnPHQ3TLX8,Kubo and two strings?
xlnPHQ3TLX8,Getting a great Ghibli vibe (Spirited Away) from this just like how Rogue One gave the same vibe as Grave of the Fireflies
xlnPHQ3TLX8,the book of life meets kubo
xlnPHQ3TLX8,It looks cute. I want to see it--but it feels like one of those movies I can wait until Redbox for.
xlnPHQ3TLX8,Mix of spirited away and book of life xD
xlnPHQ3TLX8,illegal...the movie....
xlnPHQ3TLX8,It's Book of Life 2
xlnPHQ3TLX8,"The people sticking up for Pixar is so funny. They've lost their touch and are now hit or miss. I believe this will be a miss, a derivative, copy-cat miss."
xlnPHQ3TLX8,book of life.  wow you guys can't even make new movies.
xlnPHQ3TLX8,so is this like a rip off of book of life and somewhat spirited away???
xlnPHQ3TLX8,"Reaper: "" DIE!! DIIEEEEE!!!!! DIIIIIIIIEEEEEEEEEEEE!!!!!!!!!!!!"""
xlnPHQ3TLX8,Am I the only one who is thinking this is awesome music? Where is it from??
xlnPHQ3TLX8,YYYYYYEEEESSSSS
xlnPHQ3TLX8,"+Disney•Pixar I hope your company apolgized to Conan O'Brien for this, Coco is his thing, it's his show's name, his brand, come on guys... Not going to tell a large corporation to not steal or not do immoral things, because that's too much, but at least don't make it obvious or do it to someone who's more obscure. I mean, come on Conan O'Brien is relatively obscure, so some people know about him, but not many. You have to do it to someone obscure, largely obscure, very obscure, extremely obscure, or if you want it to never be noticed, to John Oliver."
