Video ID,Comment
7bfS6seiLhk,Love the trailers where they basically show you the whole movie so you don’t have to watch the full thing
7bfS6seiLhk,Girl  resembles to natasha malkova
7bfS6seiLhk,Logan Paul
7bfS6seiLhk,can't wait to see this movie 😁😂
7bfS6seiLhk,The new Beth Cooper
7bfS6seiLhk,Omg that's little girl on ramoona and beezus i'm getting old:(((
7bfS6seiLhk,What's that song?
7bfS6seiLhk,Lol am I the only one that spotted the petroleum jelly and socks under the dudes bed
7bfS6seiLhk,Magenta from the flash
7bfS6seiLhk,omg so cute!!
7bfS6seiLhk,Kinda expected she would fall in love with her best friend instead
7bfS6seiLhk,Joey king got that BODYYYY 😍😍
7bfS6seiLhk,Love the fact that there's some Petroleum Jelly behind a magazine at 2:20
7bfS6seiLhk,christ this looks s***
7bfS6seiLhk,Holy sh*t.
7bfS6seiLhk,I still remember when Joey King replied to my tweet.
7bfS6seiLhk,"Of all the really good books on Wattpad its disappointing that this one that is clearly lame as hell, became a 'best seller' in the real world tbh."
7bfS6seiLhk,What's the song at 1:25 ?
7bfS6seiLhk,WATTTPADDDDDD 💝💝💝💝💝
7bfS6seiLhk,She's growing up
7bfS6seiLhk,Hindi dubbed
7bfS6seiLhk,Ramona?! Omg
7bfS6seiLhk,This was in Wattpad
7bfS6seiLhk,So this was the book I read on wattpad months ago? They pushed it to theaters. Wow!
7bfS6seiLhk,"This script isn't gud ,,I really hate whn someone comes in between besstees"
7bfS6seiLhk,Is that the girl from Taylor Swift's Mean video lol
7bfS6seiLhk,https://youtu.be/y79VPjqtnI0
7bfS6seiLhk,"2:20
*Isn’t that Archie’s mom?*"
7bfS6seiLhk,*this I'd kinda the edge of the 17*
7bfS6seiLhk,This looks amazing. I can't wait for it to come out xxx
7bfS6seiLhk,"So, who exactly counts as critics? And what counts as a best selling novel?"
7bfS6seiLhk,Ramona grew up
7bfS6seiLhk,Bruh. The petroleum jelly under his bed though.
7bfS6seiLhk,"Now,this looks like a genuine concept .....Netflix is giving so much great content !!"
7bfS6seiLhk,Stranger things 🌹
7bfS6seiLhk,I’m sorry but the height difference is HILARIOUS 🤣
